ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_1,wt_GFPpos_24hpf_2,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_1,wt_GFPpos_48hpf_2,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_1,wt_GFPpos_72hpf_2,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_1,gata5_GFPpos_72hpf_2,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_1,tbx5_GFPpos_72hpf_2,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_1,hand2_GFPpos_72hpf_2
ENSDARG00000000001,14,45,107,42,19,49,23,11,0,29,95,113,129,102,53,48,44,38
ENSDARG00000000002,84,307,903,53,155,252,210,313,725,140,195,96,490,957,441,364,611,311
ENSDARG00000000018,500,450,603,766,437,559,311,849,1139,336,372,356,1137,574,901,461,628,705
ENSDARG00000000019,331,1430,2769,673,1712,2058,608,2391,3031,559,1629,2133,2139,4054,2713,764,3013,3131
ENSDARG00000000068,69,235,324,90,172,344,142,209,590,120,270,78,236,798,259,125,396,392
ENSDARG00000000069,112,181,214,301,301,532,267,641,1270,214,284,412,685,1299,496,230,892,438
ENSDARG00000000086,1584,1632,2899,2972,1990,3267,1312,3399,5633,1672,1722,1507,6467,7869,2978,2525,5744,5571
ENSDARG00000000103,2823,4353,5745,2936,5810,9067,2241,5169,6881,2432,2009,2993,6830,8663,3948,2822,12002,7403
ENSDARG00000000142,21,24,72,98,116,80,19,0,1,95,11,42,183,159,24,30,33,32
ENSDARG00000000151,60,121,332,60,126,260,98,306,459,140,150,46,328,904,554,145,430,405
ENSDARG00000000161,41,28,210,176,701,888,114,1380,1119,196,513,900,693,1854,1228,234,997,1601
ENSDARG00000000175,103,33,47,119,62,83,89,73,193,168,55,32,250,30,34,152,213,114
ENSDARG00000000183,268,367,152,445,60,169,116,165,638,244,118,125,1375,304,145,359,130,98
ENSDARG00000000189,142,478,758,713,1042,1394,536,2345,2130,814,517,1011,1835,2579,1578,564,1947,1227
ENSDARG00000000212,404,25,0,337,223,50,239,202,1864,215,988,167,197,180,62,245,279,105
ENSDARG00000000229,404,668,987,921,299,615,331,508,1253,227,65,156,1121,734,306,297,471,432
ENSDARG00000000241,258,517,832,351,1262,835,308,3927,3993,279,2415,766,933,12176,3570,374,6418,7576
ENSDARG00000000324,108,281,535,450,469,597,226,709,657,360,146,295,779,980,666,237,789,547
ENSDARG00000000349,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,11,4,0
ENSDARG00000000369,22,21,0,9,65,42,8,0,58,15,37,47,8,38,13,9,14,9
ENSDARG00000000370,1012,1075,925,1701,876,1228,917,1350,1759,1301,597,601,5718,1356,587,1765,1197,785
ENSDARG00000000380,10,19,0,30,15,0,43,1,317,23,10,0,98,0,0,41,0,8
ENSDARG00000000394,1186,1220,2241,1573,1213,1946,687,1963,3267,796,822,1083,2794,2864,1204,1163,2227,2393
ENSDARG00000000423,26,77,94,19,53,74,29,193,0,20,63,61,74,38,63,46,73,118
ENSDARG00000000442,77,126,77,78,159,139,158,221,122,187,77,108,230,268,138,95,232,212
ENSDARG00000000460,0,0,0,0,0,0,13,0,0,1,32,0,0,0,0,0,30,32
ENSDARG00000000472,136,222,109,788,313,382,201,50,471,336,126,62,1372,163,102,455,139,149
ENSDARG00000000476,88,125,88,34,90,51,112,91,307,140,202,55,146,52,148,57,133,324
ENSDARG00000000489,146,274,174,233,455,588,151,970,1527,145,366,528,434,1282,810,164,761,1102
ENSDARG00000000503,295,4,2,2286,412,627,306,858,1072,1233,475,261,11680,1487,769,3147,306,550
ENSDARG00000000516,0,0,0,17,0,12,0,0,0,0,4,0,10,0,11,3,22,30
ENSDARG00000000529,160,319,1030,195,152,256,112,191,1029,155,171,246,441,539,224,210,257,390
ENSDARG00000000540,155,240,487,161,192,221,126,266,721,157,70,146,231,237,231,121,435,194
ENSDARG00000000542,167,300,414,149,247,298,124,622,609,106,182,156,361,290,113,215,380,316
ENSDARG00000000551,243,231,475,602,182,254,438,430,735,437,155,157,2021,787,290,791,428,706
ENSDARG00000000563,5031,4643,10686,5477,28301,37591,4565,33399,126917,3961,21539,6266,20424,41393,17933,5467,66825,22824
ENSDARG00000000567,1771,1007,626,2288,996,1375,713,603,1702,691,483,359,2918,1287,605,1109,1210,876
ENSDARG00000000568,250,424,643,283,363,514,159,291,448,179,420,151,605,751,408,263,711,605
ENSDARG00000000588,37,25,111,32,38,13,54,170,189,61,189,14,120,413,101,56,250,216
ENSDARG00000000606,53,27,52,86,26,71,56,332,153,162,65,19,128,85,0,81,189,8
ENSDARG00000000631,427,614,619,635,1713,1448,415,2016,2537,532,1036,698,1220,3010,1926,451,1933,1680
ENSDARG00000000651,4,24,0,0,24,20,2,0,0,4,11,26,28,25,59,20,16,41
ENSDARG00000000656,0,0,0,0,18,0,0,0,94,0,0,0,0,0,0,9,4,0
ENSDARG00000000666,96,38,250,65,185,164,126,274,177,156,307,463,232,668,360,57,340,462
ENSDARG00000000690,122,236,280,85,1730,1786,111,1740,1248,57,686,712,140,973,1163,60,1609,1325
ENSDARG00000000729,727,960,1813,836,575,757,455,996,1211,343,490,226,1111,1126,636,455,1049,948
ENSDARG00000000730,43,54,219,45,65,37,35,138,266,54,41,9,132,514,130,34,275,151
ENSDARG00000000747,13,81,74,30,70,36,42,46,34,4,0,39,107,125,29,2,32,33
ENSDARG00000000760,10,41,51,29,56,41,23,202,266,9,94,206,108,87,22,38,130,61
ENSDARG00000000767,68,747,3920,72,350,105,42,1070,1633,71,486,274,180,3250,592,116,3089,3742
ENSDARG00000000779,246,336,438,347,580,816,231,449,553,230,453,421,623,1006,641,339,899,768
ENSDARG00000000796,66,383,2104,367,2052,527,22,6034,6382,284,2245,273,1359,7146,3053,325,9942,7827
ENSDARG00000000804,12,24,51,16,10,102,21,0,78,31,61,9,14,31,0,0,42,27
ENSDARG00000000830,208,620,774,330,215,337,97,247,452,49,364,113,435,243,183,214,459,447
ENSDARG00000000837,96,1070,2084,211,270,413,147,648,479,172,397,396,249,790,621,314,500,530
ENSDARG00000000853,576,804,1107,755,2195,2871,458,3049,4138,303,1367,1999,1496,3283,2176,721,2253,2820
ENSDARG00000000857,288,604,162,263,404,384,142,452,501,97,330,192,281,902,485,187,742,514
ENSDARG00000000861,2965,2774,3537,2502,3842,5920,1350,5026,9271,1346,2810,2393,4708,11296,6183,1654,7631,5641
ENSDARG00000000887,118,120,392,17,374,341,31,48,171,1,126,56,27,233,247,40,139,255
ENSDARG00000000906,9,23,108,46,266,131,25,646,205,14,217,128,93,702,252,5,631,640
ENSDARG00000000935,164,345,274,190,149,233,119,475,342,198,167,0,496,304,201,166,257,217
ENSDARG00000000943,384,465,655,564,191,450,179,204,816,336,177,70,754,360,31,463,346,83
ENSDARG00000000966,1875,2168,3200,3184,3335,6497,2228,6366,8590,2297,2928,3088,7390,11435,5887,2608,9709,8229
ENSDARG00000001014,2890,8310,11913,2294,4510,8231,2102,6763,9711,2418,3387,4048,5015,12458,5326,3809,11201,11862
ENSDARG00000001015,592,745,2016,1143,541,1089,717,846,1703,860,472,306,2373,1297,558,938,1001,1276
ENSDARG00000001057,440,784,598,118,250,423,159,346,383,178,280,272,308,493,427,250,423,492
ENSDARG00000001127,35,22,0,486,91,74,15,180,67,245,36,62,1824,163,111,521,75,163
ENSDARG00000001129,1500,1994,3140,1880,1583,2436,1195,2270,2824,1089,1075,1004,3855,4807,2204,1184,4166,4095
ENSDARG00000001154,33,3,0,170,34,103,28,0,124,198,71,57,811,27,83,321,58,94
ENSDARG00000001162,918,857,1990,1244,1110,1357,692,1894,1656,945,417,482,2202,1820,939,532,1541,1147
ENSDARG00000001169,8,21,126,26,55,33,21,159,285,38,50,72,79,174,99,41,45,152
ENSDARG00000001210,138,175,156,123,153,156,87,660,576,64,180,107,161,117,263,124,173,177
ENSDARG00000001220,2717,4232,8871,4842,11454,19709,2012,10151,11327,2788,4326,5499,12112,25192,11449,4004,16528,14498
ENSDARG00000001234,91,473,675,56,27,55,63,147,501,76,21,0,136,350,7,59,14,17
ENSDARG00000001241,737,1484,996,750,564,1191,412,691,1292,476,461,502,1243,1017,618,425,923,738
ENSDARG00000001244,1836,3067,2654,1868,1452,2318,1206,2062,3504,1047,953,634,3290,3113,1127,1090,2927,2311
ENSDARG00000001249,73,101,106,83,100,140,74,91,44,36,26,64,149,145,65,83,171,112
ENSDARG00000001259,6,33,55,26,46,49,76,124,420,123,40,38,127,252,199,148,105,64
ENSDARG00000001313,432,1008,1514,457,179,212,156,469,1429,155,197,100,437,250,93,239,118,81
ENSDARG00000001354,8,0,0,143,31,39,75,71,153,138,71,62,283,342,46,19,30,75
ENSDARG00000001414,2,4,49,10,51,32,17,53,149,18,180,5,45,59,11,67,92,74
ENSDARG00000001431,229,30,0,199,353,503,176,545,3635,131,367,177,896,2517,933,424,1152,798
ENSDARG00000001437,103,39,0,38,150,124,34,11,70,11,26,0,81,356,82,8,128,213
ENSDARG00000001442,21,30,0,74,207,209,200,369,37,128,289,304,231,798,598,148,382,230
ENSDARG00000001447,201,226,293,196,142,209,90,347,322,112,109,95,428,218,198,135,288,217
ENSDARG00000001452,124,1642,1296,69,501,730,93,522,655,146,451,250,273,1506,560,183,727,810
ENSDARG00000001463,0,20,0,43,0,48,74,136,0,168,18,3,75,27,0,76,0,1
ENSDARG00000001470,113,367,438,127,391,309,118,538,386,148,260,146,227,399,294,141,515,496
ENSDARG00000001498,3,16,115,16,0,0,11,0,0,18,0,0,34,31,0,17,12,0
ENSDARG00000001549,767,1299,2056,834,671,1205,586,1238,1526,499,693,483,1571,1660,632,586,1263,1294
ENSDARG00000001557,153,400,384,128,339,364,75,486,285,81,124,80,218,257,230,103,341,201
ENSDARG00000001558,1319,2338,2454,986,259,507,426,862,2191,388,385,273,1078,630,402,371,450,393
ENSDARG00000001559,30,29,67,510,144,158,77,198,149,418,121,69,3459,271,102,1114,187,165
ENSDARG00000001572,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ENSDARG00000001578,78,135,277,92,511,420,138,768,881,84,352,351,206,568,333,111,605,363
ENSDARG00000001621,106,147,140,135,206,195,87,417,44,130,137,255,417,270,119,130,199,318
ENSDARG00000001634,978,855,2580,1635,1438,2366,1164,2826,3474,1161,877,1239,4021,3302,1790,1882,3328,2749
ENSDARG00000001656,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,17
ENSDARG00000001676,617,132,139,936,2467,3772,796,2394,3622,354,961,1650,1767,5212,3025,238,3359,2936
ENSDARG00000001686,0,0,0,19,0,0,4,0,25,6,29,14,62,51,0,7,4,1
ENSDARG00000001710,563,1467,2886,944,1072,1044,372,1072,1429,768,333,787,2341,1198,685,1259,1278,770
ENSDARG00000001712,0,10,33,6,0,31,2,102,183,0,0,0,21,0,0,17,27,0
ENSDARG00000001721,252,199,1555,17,10,11,4,0,43,9,37,12,4,46,0,13,11,11
ENSDARG00000001729,582,684,1376,666,780,1215,512,1113,1942,398,528,430,1377,1493,572,616,1248,910
ENSDARG00000001733,105,153,310,153,141,161,290,126,298,206,44,78,504,131,127,219,202,177
ENSDARG00000001734,124,86,185,71,252,333,73,437,305,43,180,193,326,540,401,163,428,335
ENSDARG00000001754,964,1690,1760,404,335,669,392,1175,1821,235,402,487,780,1618,1269,259,1287,1310
ENSDARG00000001760,5,29,0,318,30,55,732,409,3761,1401,865,134,2486,294,246,663,150,56
ENSDARG00000001767,180,276,214,186,137,37,135,98,175,130,55,17,266,250,47,162,127,119
ENSDARG00000001769,1097,1055,1543,1272,1399,2099,792,1883,1864,768,977,990,2413,2667,1609,1093,2520,2138
ENSDARG00000001771,6,0,0,4,0,0,2,0,0,13,0,0,18,45,0,0,0,0
ENSDARG00000001776,63,86,239,114,117,117,74,148,518,149,98,0,245,214,61,14,141,112
ENSDARG00000001777,2078,3544,4294,1086,989,1334,699,1527,2746,547,662,642,1509,2561,1216,725,1610,1974
ENSDARG00000001781,28,28,38,54,26,26,18,7,92,7,0,0,35,19,0,22,27,2
ENSDARG00000001782,3,4,68,1,0,0,0,18,0,6,10,15,14,276,28,0,33,99
ENSDARG00000001785,115,49,393,590,265,453,94,295,730,262,123,67,1229,133,89,615,855,250
ENSDARG00000001788,479,746,921,553,1444,1354,526,1955,1794,460,1610,1242,1219,2652,1754,498,2327,1755
ENSDARG00000001803,2,231,162,19,623,726,40,439,147,93,361,12,153,242,65,22,1496,577
ENSDARG00000001804,0,0,0,0,11,2,0,55,122,25,0,14,8,0,12,0,4,0
ENSDARG00000001807,43,268,391,222,1020,990,182,1385,1442,327,929,860,800,3177,1722,227,2159,1986
ENSDARG00000001817,8,75,31,45,126,82,36,149,188,64,53,37,169,207,119,26,131,211
ENSDARG00000001818,0,0,0,15,36,0,168,764,434,0,50,0,27,1821,504,47,209,308
ENSDARG00000001825,10,21,0,12,0,0,25,93,0,17,0,0,36,8,20,26,0,14
ENSDARG00000001829,614,848,1066,725,832,705,571,639,2183,772,411,273,1507,1352,879,892,917,700
ENSDARG00000001835,49,0,50,377,59,58,100,246,107,278,116,17,1472,177,117,439,88,51
ENSDARG00000001857,782,756,2361,1516,1251,2037,815,1401,3211,780,640,765,2965,3622,1196,1139,2299,1746
ENSDARG00000001859,155,19,0,51,59,58,45,0,0,29,30,0,131,14,30,47,11,2
ENSDARG00000001870,255,43,16,392,353,37,255,1227,4439,523,1526,564,433,2404,1133,243,2629,902
ENSDARG00000001873,1145,796,427,541,460,672,589,832,1029,352,586,259,950,837,404,526,606,746
ENSDARG00000001879,794,916,843,367,514,849,290,420,1301,360,389,146,374,835,281,153,896,550
ENSDARG00000001880,34,155,123,108,228,159,91,360,168,233,83,37,349,249,141,176,298,299
ENSDARG00000001881,18,0,0,35,16,12,19,0,0,46,6,41,416,12,83,89,8,7
ENSDARG00000001882,0,0,0,2,29,7,14,0,72,3,21,0,39,162,38,0,53,93
ENSDARG00000001888,230,425,1153,375,387,746,204,938,1608,249,147,259,882,1029,490,270,798,741
ENSDARG00000001889,6234,1908,1540,13459,6184,6429,4109,6823,15205,5497,3604,2475,28408,6225,5502,11505,3759,4055
ENSDARG00000001890,1517,2547,3841,1793,2531,3703,1094,3208,4976,948,1584,1140,3274,4715,2548,1125,3613,3923
ENSDARG00000001891,4,6,12,40,33,13,0,70,82,20,40,0,213,132,5,16,94,54
ENSDARG00000001897,253,841,869,289,765,1169,128,988,1830,148,924,736,402,2461,1628,154,1668,1558
ENSDARG00000001898,33,80,43,82,125,184,68,182,263,65,46,70,123,184,226,62,222,158
ENSDARG00000001906,12,0,0,11,2,11,1,0,0,29,0,0,2,0,0,11,0,49
ENSDARG00000001909,27,0,0,43,15,25,87,76,596,129,180,20,55,101,102,13,85,50
ENSDARG00000001910,232,54,41,959,1588,2561,487,2405,3959,870,1024,1703,3374,3645,2742,749,2366,2531
ENSDARG00000001912,8,0,0,28,0,0,20,0,0,23,15,4,110,0,0,9,8,0
ENSDARG00000001913,14,5,0,115,23,38,16,81,1,34,0,0,119,48,0,16,50,40
ENSDARG00000001929,41,197,75,79,94,188,36,317,531,67,183,34,221,338,144,32,397,142
ENSDARG00000001930,55,193,453,181,212,256,89,272,546,97,126,38,399,271,158,132,280,175
ENSDARG00000001933,7,28,113,0,81,113,15,52,125,9,67,81,9,101,114,0,158,96
ENSDARG00000001937,26,0,0,3,0,10,0,0,0,34,0,0,12,0,0,21,13,0
ENSDARG00000001939,148,368,201,263,318,238,137,334,300,88,68,58,290,384,156,97,250,151
ENSDARG00000001940,274,412,689,327,975,1107,204,1323,2175,202,366,1090,783,1832,1083,451,1422,1737
ENSDARG00000001950,1,0,0,40,151,126,60,220,130,39,89,57,198,500,382,130,225,196
ENSDARG00000001953,50,180,182,78,242,165,37,309,653,225,251,76,317,583,297,100,943,823
ENSDARG00000001968,191,26,78,93,206,546,224,68,348,54,308,229,327,691,301,198,534,476
ENSDARG00000001969,196,335,686,250,158,202,127,417,690,177,363,153,462,529,353,285,535,596
ENSDARG00000001971,0,0,0,0,0,0,41,58,131,73,42,0,75,42,10,15,31,1
ENSDARG00000001975,1,136,53,194,205,270,259,519,316,499,70,123,572,584,167,370,383,156
ENSDARG00000001976,0,0,0,33,0,25,113,190,96,47,93,0,116,94,17,22,19,0
ENSDARG00000001993,5,23,0,30,35,33,538,1650,6756,362,23,69,4193,2184,337,1005,1604,560
ENSDARG00000001994,259,68,19,1138,511,499,184,620,316,744,323,124,5436,526,593,1897,215,404
ENSDARG00000001999,280,177,211,563,166,223,335,228,149,249,55,100,981,553,137,317,292,95
ENSDARG00000002002,14,33,0,50,64,60,85,215,0,14,114,21,135,107,154,58,343,355
ENSDARG00000002006,65,292,170,285,329,445,149,425,704,134,247,333,564,1022,411,257,522,423
ENSDARG00000002013,257,414,661,187,178,338,184,635,1233,176,100,176,289,860,184,102,430,444
ENSDARG00000002016,265,451,808,327,377,344,205,677,565,302,265,173,524,418,400,298,464,364
ENSDARG00000002020,239,606,783,404,536,595,249,921,849,362,329,414,1022,1543,625,195,775,754
ENSDARG00000002021,99,1474,2044,151,1621,2426,258,2377,962,276,1090,1291,513,2834,1785,172,2140,2133
ENSDARG00000002026,320,148,221,715,1515,2302,396,1846,1445,365,927,1261,1950,4622,1556,684,3502,3730
ENSDARG00000002031,373,430,546,352,287,368,280,159,1071,193,132,125,643,332,269,207,383,267
ENSDARG00000002037,5,0,0,37,94,45,31,21,11,25,43,26,160,139,89,61,47,79
ENSDARG00000002060,62,53,115,63,67,36,52,159,41,19,0,1,59,173,70,15,46,62
ENSDARG00000002071,20,0,0,85,175,243,99,43,528,73,182,56,222,322,192,60,357,98
ENSDARG00000002077,39,181,178,104,151,185,6,142,202,93,41,108,255,148,96,86,146,242
ENSDARG00000002082,969,1731,2911,1339,2058,2625,762,3270,4279,854,1754,1428,2561,3284,2444,1321,3189,3193
ENSDARG00000002084,213,350,634,348,4137,5491,308,3507,4275,271,503,583,975,7586,4663,510,3986,2196
ENSDARG00000002097,1,0,0,10,0,0,0,67,0,0,0,0,0,0,0,0,34,1
ENSDARG00000002127,646,772,1650,1167,1366,1685,400,1271,2914,525,521,612,2012,2341,1326,648,1910,1621
ENSDARG00000002128,287,400,231,254,250,373,168,341,1008,158,342,316,382,436,242,289,370,541
ENSDARG00000002131,646,770,1748,2408,2219,3653,913,2322,2708,997,1139,1635,4827,3956,2255,1599,2742,3441
ENSDARG00000002165,0,0,71,0,62,34,13,121,370,33,212,163,45,100,45,18,282,398
ENSDARG00000002167,81,20,82,187,68,76,118,0,139,300,113,74,728,336,86,293,108,112
ENSDARG00000002168,627,957,706,622,515,639,231,830,1214,485,257,365,1106,637,480,397,677,694
ENSDARG00000002172,194,1107,808,115,404,1002,82,236,145,138,24,4,189,205,100,65,100,71
ENSDARG00000002174,68,135,219,20,88,109,64,35,0,20,105,95,99,153,168,20,133,205
ENSDARG00000002184,143,252,265,187,213,278,69,480,888,119,364,144,438,366,300,278,369,334
ENSDARG00000002190,73,129,181,174,1234,1368,147,1428,1762,146,748,1013,506,1545,2116,234,2092,2004
ENSDARG00000002192,7,7,93,74,103,17,356,83,0,132,8,28,232,51,65,107,102,15
ENSDARG00000002193,0,0,0,109,0,8,2048,885,2739,729,378,179,2725,313,18,465,129,11
ENSDARG00000002194,210,1518,3922,551,43,53,26,54,2,70,10,11,261,3,41,135,46,90
ENSDARG00000002196,101,315,691,156,378,503,132,416,965,202,540,300,261,1597,457,77,1284,884
ENSDARG00000002197,15,42,56,60,44,67,178,1611,2717,82,269,126,146,8602,2308,50,1130,1200
ENSDARG00000002204,0,0,0,3,130,273,4,61,0,0,11,0,47,348,130,21,105,9
ENSDARG00000002210,39,51,48,77,46,81,45,145,0,18,47,0,257,49,5,86,99,27
ENSDARG00000002213,78,203,111,80,88,94,83,243,107,99,55,107,149,205,111,70,317,209
ENSDARG00000002215,738,598,1227,529,680,818,211,388,548,153,298,253,526,828,172,348,893,879
ENSDARG00000002216,169,152,215,227,62,117,305,256,350,298,114,87,914,116,94,154,123,192
ENSDARG00000002217,186,284,1006,450,693,916,189,878,771,216,463,430,1561,1148,661,539,1174,1185
ENSDARG00000002219,0,0,0,6,0,0,9,118,0,0,0,0,9,81,0,0,62,0
ENSDARG00000002220,81,80,237,125,240,246,91,496,309,84,37,157,179,190,216,119,321,110
ENSDARG00000002230,22,1,0,234,56,106,293,573,1286,314,162,120,1697,238,176,453,100,64
ENSDARG00000002231,21,301,317,93,0,20,72,82,263,77,35,11,95,177,64,60,89,67
ENSDARG00000002235,276,218,478,577,731,608,1017,864,1908,906,346,220,1941,680,473,1260,736,281
ENSDARG00000002240,457,1199,1258,459,1182,1401,292,947,1567,221,844,1092,874,1366,1058,554,1410,1457
ENSDARG00000002241,0,0,0,17,0,3,0,43,0,33,0,6,56,10,0,23,14,1
ENSDARG00000002249,4,3,89,84,209,363,91,508,574,56,320,185,240,761,519,54,427,359
ENSDARG00000002255,92,111,424,544,198,499,161,608,577,380,445,197,1964,443,255,859,230,323
ENSDARG00000002259,0,0,0,0,0,0,0,0,0,0,18,0,0,6,0,0,2,0
ENSDARG00000002264,15,34,15,55,51,25,36,27,47,15,63,58,39,100,40,32,74,78
ENSDARG00000002267,366,436,478,178,149,384,183,741,1087,116,412,319,298,773,364,227,524,438
ENSDARG00000002271,382,513,795,587,974,1239,371,1220,2391,456,667,563,1737,1689,924,635,1412,985
ENSDARG00000002285,89,444,351,193,928,1588,155,1035,1210,94,941,979,441,2658,1370,176,1761,1797
ENSDARG00000002293,0,0,0,3,0,0,0,0,0,31,33,23,1,14,0,1,38,14
ENSDARG00000002295,0,0,0,7,16,0,0,0,0,26,0,0,4,4,0,18,11,1
ENSDARG00000002298,0,0,0,2,18,34,0,135,198,48,28,119,11,68,43,1,45,38
ENSDARG00000002299,38,24,46,61,34,77,92,92,319,28,97,20,195,192,53,70,133,99
ENSDARG00000002300,5,0,0,2,0,0,9,90,0,6,5,0,33,36,0,29,2,30
ENSDARG00000002304,93,240,604,25,33,43,60,0,389,7,32,18,59,47,69,14,112,117
ENSDARG00000002305,207,240,321,348,603,517,327,695,1637,318,587,178,892,1527,725,311,1085,893
ENSDARG00000002311,0,0,0,0,0,0,0,0,0,0,0,0,14,0,23,0,0,0
ENSDARG00000002330,0,0,0,27,0,7,52,0,22,37,0,31,158,41,0,42,0,17
ENSDARG00000002332,178,334,189,189,120,210,263,0,143,402,50,10,520,140,130,307,192,78
ENSDARG00000002333,149,202,425,297,190,248,114,482,394,132,158,205,542,405,125,289,287,160
ENSDARG00000002336,751,627,1192,825,684,618,367,1028,2388,482,422,377,1314,1077,735,650,489,564
ENSDARG00000002339,106,161,83,164,158,118,62,184,254,147,192,258,350,209,296,192,177,154
ENSDARG00000002344,6769,11343,14818,7410,15374,17921,4579,21130,34369,5394,16463,14243,15088,31892,24223,13986,24067,29791
ENSDARG00000002347,0,17,67,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
ENSDARG00000002353,14,13,70,12,52,44,24,1297,645,14,139,27,129,922,498,36,2171,1661
ENSDARG00000002355,1,7,0,10,10,42,5,46,0,1,14,0,8,162,73,4,74,87
ENSDARG00000002362,52,148,342,259,276,344,107,414,261,238,274,350,635,406,274,228,472,251
ENSDARG00000002365,97,209,120,46,750,814,118,1400,421,93,399,620,174,824,724,108,867,892
ENSDARG00000002369,6683,13181,11182,6094,21141,21139,3702,25973,36201,3638,23420,14260,11131,45538,35396,3981,25719,16070
ENSDARG00000002377,78,126,193,74,139,213,52,261,270,94,187,33,202,164,138,55,187,125
ENSDARG00000002385,474,848,1180,413,502,678,321,620,1195,99,280,436,910,1634,940,181,1105,1012
ENSDARG00000002391,0,0,0,6,0,0,20,103,19,0,7,41,11,17,0,4,43,65
ENSDARG00000002394,0,0,0,0,0,0,12,99,0,0,0,17,10,132,0,0,13,36
ENSDARG00000002396,102,212,180,83,1440,1459,303,2388,2322,357,786,1142,536,1753,1635,314,1423,1363
ENSDARG00000002401,30,142,0,86,190,131,93,427,673,110,179,59,103,352,182,108,245,186
ENSDARG00000002402,336,570,741,307,338,406,178,827,1429,230,459,375,651,696,401,236,801,616
ENSDARG00000002403,546,731,1136,464,341,300,345,632,1357,212,375,182,729,400,281,302,305,255
ENSDARG00000002405,151,1424,2612,102,780,730,67,673,1167,33,416,229,198,1225,740,175,666,708
ENSDARG00000002406,14,26,0,16,0,16,16,0,0,12,0,75,16,52,0,21,12,81
ENSDARG00000002411,101,134,254,72,75,14,79,128,751,37,103,26,186,250,102,45,150,83
ENSDARG00000002445,312,811,1353,736,168,327,143,255,679,357,472,54,543,826,170,269,702,643
ENSDARG00000002463,92,151,263,117,43,188,60,79,371,57,75,81,124,116,28,69,180,90
ENSDARG00000002467,52,15,228,14,142,89,20,294,68,59,21,67,137,135,122,25,135,76
ENSDARG00000002479,765,1335,2320,504,229,302,263,349,413,282,278,154,586,808,275,101,407,411
ENSDARG00000002483,14,16,0,0,0,5,29,0,0,0,8,56,19,65,12,28,4,0
ENSDARG00000002487,528,970,963,307,289,458,181,518,1182,123,122,200,559,553,528,358,672,740
ENSDARG00000002494,39,0,0,93,38,4,67,77,203,55,35,0,101,67,6,40,72,8
ENSDARG00000002506,58,74,119,75,544,474,64,595,374,29,218,304,217,278,469,125,446,325
ENSDARG00000002507,70,41,100,241,86,18,320,151,1214,521,196,43,668,491,125,336,264,145
ENSDARG00000002508,0,0,0,0,0,1,16,0,0,0,1,0,25,0,0,0,0,1
ENSDARG00000002509,5,100,0,19,122,78,6,135,378,36,240,47,24,163,34,8,124,51
ENSDARG00000002510,153,9,0,92,0,0,51,0,205,8,0,0,177,30,0,16,4,22
ENSDARG00000002523,313,638,583,238,1036,769,279,888,2056,192,590,485,633,1660,1077,320,1353,1043
ENSDARG00000002533,32,77,269,40,26,14,43,17,222,79,27,2,77,90,71,20,41,60
ENSDARG00000002536,648,1619,1837,841,2536,3390,528,2103,4053,592,1638,2752,1327,3611,2197,571,3159,3477
ENSDARG00000002538,616,700,1055,474,493,634,263,492,1328,190,293,455,781,1149,710,241,650,814
ENSDARG00000002546,64,0,0,337,163,148,88,197,18,268,53,63,1225,294,133,416,46,83
ENSDARG00000002549,43,74,250,127,206,330,55,391,300,68,336,171,178,416,378,126,384,426
ENSDARG00000002552,741,1197,2009,565,1178,1351,435,1187,1646,465,575,865,988,1581,1008,504,2097,1514
ENSDARG00000002564,46,20,0,121,4600,4841,113,2138,3230,142,1366,2354,604,2229,3123,150,2758,2811
ENSDARG00000002571,469,984,930,418,788,1170,488,1312,1890,407,539,858,1184,2002,636,513,1145,1221
ENSDARG00000002576,0,11,0,0,0,0,0,0,0,26,0,6,58,30,27,0,0,0
ENSDARG00000002582,111,125,123,216,110,40,217,1,108,306,53,51,244,36,63,97,93,76
ENSDARG00000002587,473,282,388,2572,1103,1553,876,2044,2316,1086,598,616,6873,2700,2283,1584,1658,1388
ENSDARG00000002589,26,0,0,158,829,552,106,674,4353,65,388,403,392,873,1391,137,804,590
ENSDARG00000002591,504,1080,1255,908,684,782,549,814,948,356,563,762,906,1162,863,383,884,1219
ENSDARG00000002593,173,48,66,0,865,1328,4,473,78,29,476,673,64,1030,619,28,524,485
ENSDARG00000002597,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,11,0,0
ENSDARG00000002600,15,0,80,148,0,14,49,30,267,188,14,0,1165,165,4,308,48,52
ENSDARG00000002601,175,53,199,188,76,65,72,67,342,131,35,55,369,53,75,180,121,10
ENSDARG00000002607,69,324,523,723,1453,1634,121,1756,1583,199,520,671,1114,1757,915,132,2027,2105
ENSDARG00000002609,204,642,667,293,48,142,121,45,72,164,87,23,523,157,39,161,188,36
