ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_1,wt_GFPpos_24hpf_2,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_1,wt_GFPpos_48hpf_2,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_1,wt_GFPpos_72hpf_2,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_1,gata5_GFPpos_72hpf_2,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_1,tbx5_GFPpos_72hpf_2,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_1,hand2_GFPpos_72hpf_2
ENSDARG00000096915,6,0,46,0,0,6,0,0,151,0,0,0,1,0,0,0,0,0
ENSDARG00000096917,146,1332,2646,400,182,372,74,193,245,174,1,0,357,32,115,94,64,66
ENSDARG00000096918,2,18,0,0,1,1,5,0,0,10,0,0,24,0,0,13,26,0
ENSDARG00000096919,9,16,72,5,1,7,2,0,0,45,21,2,22,13,0,0,9,0
ENSDARG00000096920,0,0,10,171,31,84,107,69,32,149,0,23,527,39,27,92,0,19
ENSDARG00000096921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
ENSDARG00000096922,0,0,0,17,6,13,0,0,49,32,19,0,153,0,0,60,0,1
ENSDARG00000096924,0,0,0,0,0,31,12,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000096925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
ENSDARG00000096926,0,0,0,1,0,0,15,0,0,0,0,0,9,0,0,19,3,0
ENSDARG00000096927,8,66,23,20,0,0,7,180,39,0,14,0,2,1,24,11,3,19
ENSDARG00000096928,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,16,1
ENSDARG00000096930,12,0,0,0,0,0,0,0,1,19,0,0,7,0,0,0,0,10
ENSDARG00000096932,131,187,312,140,87,75,294,53,326,270,21,11,504,172,120,155,136,36
ENSDARG00000096933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
