ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_av,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_av,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_av,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_av,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_av,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_av
ENSDARG00000018361,8,0,0,13,12,108,0,14,15,16,0,2
ENSDARG00000018382,0,22,2,47.5,14,91.5,42,18.5,18,0,33,23
ENSDARG00000018383,0,9,79,40.5,303,505.5,395,84.5,649,99,204,83
ENSDARG00000018393,476,845,904,4110.5,723,5313.5,787,3792,2644,7677,1186,7464
ENSDARG00000018397,104,183,406,461.5,257,725,350,286,1981,738,611,566
ENSDARG00000018399,75,478.5,71,314,74,424.5,60,272.5,178,397.5,140,1016.5
ENSDARG00000018404,2003,7208,2248,3072,2027,7344.5,4033,3180,3843,3357,4917,3357
ENSDARG00000018411,140,326.5,134,519,86,1268.5,61,413.5,354,820,219,862.5
ENSDARG00000018418,25,123,33,116,23,3,53,0,47,8.5,5,10
ENSDARG00000018423,620,341,494,172.5,318,210.5,168,55.5,1408,133,535,192
ENSDARG00000018425,2043,2531.5,1336,1516,1085,1814.5,805,650,2202,1633,880,1974.5
ENSDARG00000018426,239,358.5,276,691.5,364,2015,246,416,524,1334.5,326,981
ENSDARG00000018432,38,39,63,287,143,825,92,257.5,124,682.5,38,771.5
ENSDARG00000018441,267,1022,258,235,153,957,186,111,246,126.5,181,367.5
ENSDARG00000018459,0,0,10,13,36,111,43,38,42,268.5,22,126
ENSDARG00000018460,272,682,803,3122,937,2311,850,1500.5,1980,4007,698,3897
ENSDARG00000018461,450,3263.5,1007,673,272,865,383,563,618,738,384,671
ENSDARG00000018476,779,1063.5,991,1309.5,487,1031,446,698,1661,2022,912,2037.5
ENSDARG00000018478,4,9,9,16,150,1681.5,21,351.5,110,5461,23,707
ENSDARG00000018485,57,41.5,78,262,55,660,75,313.5,86,447.5,89,348.5
ENSDARG00000018491,434,1802,1061,829.5,790,3469.5,667,812,1942,2724,806,1954
ENSDARG00000018492,776,738.5,925,1309,619,1651,822,613.5,2053,1221,757,1482.5
ENSDARG00000018494,124,104.5,103,136.5,59,93,107,120,165,203,137,232
ENSDARG00000018506,0,0,1,0,0,40.5,0,11,3,3,6,12
ENSDARG00000018508,270,362,353,234,274,314.5,235,113.5,584,213.5,246,336
ENSDARG00000018516,113,187.5,137,391.5,216,616,110,287.5,432,537.5,207,577
ENSDARG00000018524,1729,2135.5,3472,2809,1453,4421,1886,1100.5,6081,3677.5,2260,5218.5
ENSDARG00000018529,43,133,130,1256.5,61,2257.5,86,787,180,1783.5,115,1592.5
ENSDARG00000018530,0,0,14,0,26,65,0,30,28,8.5,1,0
ENSDARG00000018534,1513,2597,1897,1106,1160,1689.5,1032,781.5,4269,2346,1045,1752.5
ENSDARG00000018542,0,0,6,0,0,0,14,9.5,1,0,5,0
ENSDARG00000018553,0,3.5,2,42.5,4,42,0,38,77,190,11,237
ENSDARG00000018559,474,598,794,727.5,298,991.5,466,265.5,1480,724,403,546.5
ENSDARG00000018562,378,588.5,368,976,285,1714,282,566,736,1072,250,856
ENSDARG00000018566,166,339.5,59,2017,103,1046,52,130.5,408,421,178,1497.5
ENSDARG00000018569,42,748,119,646.5,180,1659.5,424,781.5,445,1780,544,2845.5
ENSDARG00000018574,686,1195.5,520,370.5,171,557,201,175,649,456.5,321,595
ENSDARG00000018587,0,0,0,0,1,0,0,0,5,0,0,0.5
ENSDARG00000018593,64,372.5,78,359.5,131,637.5,109,306,163,489,97,508
ENSDARG00000018600,67,163.5,110,214.5,164,613,76,211,157,344,125,504.5
ENSDARG00000018602,372,610,493,1537.5,436,2092.5,417,1042,1178,2506.5,406,2537.5
ENSDARG00000018611,91,0,50,5,33,0,3,12,49,0,17,5
ENSDARG00000018616,0,0,16,0,5,0,0,0,19,15,29,23
ENSDARG00000018618,1520,2231,1329,1304.5,735,2096,891,761,2297,1399,1020,1541.5
ENSDARG00000018619,23,73.5,74,41,26,65,31,55,455,11.5,182,58
ENSDARG00000018621,10,14.5,23,25,0,113,0,25,2,141.5,0,35.5
ENSDARG00000018623,241,474,115,82,127,306.5,61,94.5,200,195.5,66,86
ENSDARG00000018627,98,91,160,277.5,68,591.5,119,144,293,304.5,117,315
ENSDARG00000018637,108,155,36,106,159,139.5,102,166,197,274,93,193
ENSDARG00000018643,77,5,52,13.5,131,310.5,75,10,207,163.5,70,104.5
ENSDARG00000018650,5,21,3,0,17,0,0,0,32,20,33,33
ENSDARG00000018653,25,83.5,62,41,2,133.5,9,67.5,113,138.5,9,149.5
ENSDARG00000018658,182,416,179,283.5,121,730,97,276.5,247,339.5,91,384.5
ENSDARG00000018671,0,15.5,0,0,0,0,0,0,0,17.5,0,0
ENSDARG00000018681,76,239,47,123,35,80,44,93,125,117,15,112.5
ENSDARG00000018687,0,0,0,0,2,0,8,1,31,0,4,0
ENSDARG00000018688,121,721,163,288.5,128,243.5,134,95,351,268.5,153,465
ENSDARG00000018691,569,760,1443,1141.5,795,2211,870,726,3258,1449,1134,1416.5
ENSDARG00000018693,4207,3575.5,4970,4697,2342,4667.5,2745,1192,10081,3571.5,3735,4156
ENSDARG00000018698,2054,1692.5,1504,1296.5,633,1590.5,671,678.5,1966,1588,785,1784.5
ENSDARG00000018716,198,441.5,199,329,171,305.5,222,198,1068,377.5,435,462.5
ENSDARG00000018721,202,196.5,256,112.5,326,369.5,224,94.5,835,229.5,239,205
ENSDARG00000018726,13,114.5,41,226.5,84,286.5,26,135.5,141,342.5,56,253.5
ENSDARG00000018738,362,450.5,198,304.5,169,1087.5,183,347.5,381,368,216,566.5
ENSDARG00000018742,1197,3156.5,1403,1877.5,691,3011,584,1012.5,2704,2972,871,2861
ENSDARG00000018743,77,0,188,66.5,16,63,56,59.5,781,59.5,163,37.5
ENSDARG00000018744,0,0,0,0,0,0,0,0,2,0,0,2
ENSDARG00000018750,15,14.5,75,43,38,517,25,57.5,121,282,65,283
ENSDARG00000018757,69,5.5,135,56,85,96.5,238,93.5,106,65,21,126.5
ENSDARG00000018765,172,307,403,483,215,1016.5,228,372.5,671,478.5,345,587.5
ENSDARG00000018770,0,0,0,0,2,0,0,0,2,0,0,0
ENSDARG00000018773,6,295,17,676.5,67,209,49,30.5,598,370,145,1066.5
ENSDARG00000018782,740,2828,1274,1255,677,1693,943,1084.5,2500,2281.5,536,1693
ENSDARG00000018787,101,218.5,163,201,71,402.5,57,49,299,172,125,88
ENSDARG00000018788,502,31,426,100.5,135,99.5,149,19.5,642,55.5,178,48.5
ENSDARG00000018809,12,64.5,47,112.5,11,251.5,62,11,513,130.5,69,190
ENSDARG00000018814,145,0.5,126,53,153,558,94,158.5,93,124.5,56,61.5
ENSDARG00000018817,16,34.5,53,84.5,56,228.5,36,32,400,25.5,148,78
