ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_av,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_av,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_av,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_av,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_av,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_av
ENSDARG00000000001,14,76,42,34,23,5.5,29,104,129,77.5,48,41
ENSDARG00000000002,84,605,53,203.5,210,519,140,145.5,490,699,364,461
ENSDARG00000000018,500,526.5,766,498,311,994,336,364,1137,737.5,461,666.5
ENSDARG00000000019,331,2099.5,673,1885,608,2711,559,1881,2139,3383.5,764,3072
ENSDARG00000000068,69,279.5,90,258,142,399.5,120,174,236,528.5,125,394
ENSDARG00000000069,112,197.5,301,416.5,267,955.5,214,348,685,897.5,230,665
ENSDARG00000000086,1584,2265.5,2972,2628.5,1312,4516,1672,1614.5,6467,5423.5,2525,5657.5
ENSDARG00000000103,2823,5049,2936,7438.5,2241,6025,2432,2501,6830,6305.5,2822,9702.5
ENSDARG00000000142,21,48,98,98,19,0.5,95,26.5,183,91.5,30,32.5
ENSDARG00000000151,60,226.5,60,193,98,382.5,140,98,328,729,145,417.5
ENSDARG00000000161,41,119,176,794.5,114,1249.5,196,706.5,693,1541,234,1299
ENSDARG00000000175,103,40,119,72.5,89,133,168,43.5,250,32,152,163.5
ENSDARG00000000183,268,259.5,445,114.5,116,401.5,244,121.5,1375,224.5,359,114
ENSDARG00000000189,142,618,713,1218,536,2237.5,814,764,1835,2078.5,564,1587
ENSDARG00000000212,404,12.5,337,136.5,239,1033,215,577.5,197,121,245,192
ENSDARG00000000229,404,827.5,921,457,331,880.5,227,110.5,1121,520,297,451.5
ENSDARG00000000241,258,674.5,351,1048.5,308,3960,279,1590.5,933,7873,374,6997
ENSDARG00000000324,108,408,450,533,226,683,360,220.5,779,823,237,668
ENSDARG00000000349,0,0,4,0,0,0,0,6.5,0,0,11,2
ENSDARG00000000369,22,10.5,9,53.5,8,29,15,42,8,25.5,9,11.5
ENSDARG00000000370,1012,1000,1701,1052,917,1554.5,1301,599,5718,971.5,1765,991
ENSDARG00000000380,10,9.5,30,7.5,43,159,23,5,98,0,41,4
ENSDARG00000000394,1186,1730.5,1573,1579.5,687,2615,796,952.5,2794,2034,1163,2310
ENSDARG00000000423,26,85.5,19,63.5,29,96.5,20,62,74,50.5,46,95.5
ENSDARG00000000442,77,101.5,78,149,158,171.5,187,92.5,230,203,95,222
ENSDARG00000000460,0,0,0,0,13,0,1,16,0,0,0,31
ENSDARG00000000472,136,165.5,788,347.5,201,260.5,336,94,1372,132.5,455,144
ENSDARG00000000476,88,106.5,34,70.5,112,199,140,128.5,146,100,57,228.5
ENSDARG00000000489,146,224,233,521.5,151,1248.5,145,447,434,1046,164,931.5
ENSDARG00000000503,295,3,2286,519.5,306,965,1233,368,11680,1128,3147,428
ENSDARG00000000516,0,0,17,6,0,0,0,2,10,5.5,3,26
ENSDARG00000000529,160,674.5,195,204,112,610,155,208.5,441,381.5,210,323.5
ENSDARG00000000540,155,363.5,161,206.5,126,493.5,157,108,231,234,121,314.5
ENSDARG00000000542,167,357,149,272.5,124,615.5,106,169,361,201.5,215,348
ENSDARG00000000551,243,353,602,218,438,582.5,437,156,2021,538.5,791,567
ENSDARG00000000563,5031,7664.5,5477,32946,4565,80158,3961,13902.5,20424,29663,5467,44824.5
ENSDARG00000000567,1771,816.5,2288,1185.5,713,1152.5,691,421,2918,946,1109,1043
ENSDARG00000000568,250,533.5,283,438.5,159,369.5,179,285.5,605,579.5,263,658
ENSDARG00000000588,37,68,32,25.5,54,179.5,61,101.5,120,257,56,233
ENSDARG00000000606,53,39.5,86,48.5,56,242.5,162,42,128,42.5,81,98.5
ENSDARG00000000631,427,616.5,635,1580.5,415,2276.5,532,867,1220,2468,451,1806.5
ENSDARG00000000651,4,12,0,22,2,0,4,18.5,28,42,20,28.5
ENSDARG00000000656,0,0,0,9,0,47,0,0,0,0,9,2
ENSDARG00000000666,96,144,65,174.5,126,225.5,156,385,232,514,57,401
ENSDARG00000000690,122,258,85,1758,111,1494,57,699,140,1068,60,1467
ENSDARG00000000729,727,1386.5,836,666,455,1103.5,343,358,1111,881,455,998.5
ENSDARG00000000730,43,136.5,45,51,35,202,54,25,132,322,34,213
ENSDARG00000000747,13,77.5,30,53,42,40,4,19.5,107,77,2,32.5
ENSDARG00000000760,10,46,29,48.5,23,234,9,150,108,54.5,38,95.5
ENSDARG00000000767,68,2333.5,72,227.5,42,1351.5,71,380,180,1921,116,3415.5
ENSDARG00000000779,246,387,347,698,231,501,230,437,623,823.5,339,833.5
ENSDARG00000000796,66,1243.5,367,1289.5,22,6208,284,1259,1359,5099.5,325,8884.5
ENSDARG00000000804,12,37.5,16,56,21,39,31,35,14,15.5,0,34.5
ENSDARG00000000830,208,697,330,276,97,349.5,49,238.5,435,213,214,453
ENSDARG00000000837,96,1577,211,341.5,147,563.5,172,396.5,249,705.5,314,515
ENSDARG00000000853,576,955.5,755,2533,458,3593.5,303,1683,1496,2729.5,721,2536.5
ENSDARG00000000857,288,383,263,394,142,476.5,97,261,281,693.5,187,628
ENSDARG00000000861,2965,3155.5,2502,4881,1350,7148.5,1346,2601.5,4708,8739.5,1654,6636
ENSDARG00000000887,118,256,17,357.5,31,109.5,1,91,27,240,40,197
ENSDARG00000000906,9,65.5,46,198.5,25,425.5,14,172.5,93,477,5,635.5
ENSDARG00000000935,164,309.5,190,191,119,408.5,198,83.5,496,252.5,166,237
ENSDARG00000000943,384,560,564,320.5,179,510,336,123.5,754,195.5,463,214.5
ENSDARG00000000966,1875,2684,3184,4916,2228,7478,2297,3008,7390,8661,2608,8969
ENSDARG00000001014,2890,10111.5,2294,6370.5,2102,8237,2418,3717.5,5015,8892,3809,11531.5
ENSDARG00000001015,592,1380.5,1143,815,717,1274.5,860,389,2373,927.5,938,1138.5
ENSDARG00000001057,440,691,118,336.5,159,364.5,178,276,308,460,250,457.5
ENSDARG00000001127,35,11,486,82.5,15,123.5,245,49,1824,137,521,119
ENSDARG00000001129,1500,2567,1880,2009.5,1195,2547,1089,1039.5,3855,3505.5,1184,4130.5
ENSDARG00000001154,33,1.5,170,68.5,28,62,198,64,811,55,321,76
ENSDARG00000001162,918,1423.5,1244,1233.5,692,1775,945,449.5,2202,1379.5,532,1344
ENSDARG00000001169,8,73.5,26,44,21,222,38,61,79,136.5,41,98.5
ENSDARG00000001210,138,165.5,123,154.5,87,618,64,143.5,161,190,124,175
ENSDARG00000001220,2717,6551.5,4842,15581.5,2012,10739,2788,4912.5,12112,18320.5,4004,15513
ENSDARG00000001234,91,574,56,41,63,324,76,10.5,136,178.5,59,15.5
ENSDARG00000001241,737,1240,750,877.5,412,991.5,476,481.5,1243,817.5,425,830.5
ENSDARG00000001244,1836,2860.5,1868,1885,1206,2783,1047,793.5,3290,2120,1090,2619
ENSDARG00000001249,73,103.5,83,120,74,67.5,36,45,149,105,83,141.5
ENSDARG00000001259,6,44,26,47.5,76,272,123,39,127,225.5,148,84.5
ENSDARG00000001313,432,1261,457,195.5,156,949,155,148.5,437,171.5,239,99.5
ENSDARG00000001354,8,0,143,35,75,112,138,66.5,283,194,19,52.5
ENSDARG00000001414,2,26.5,10,41.5,17,101,18,92.5,45,35,67,83
ENSDARG00000001431,229,15,199,428,176,2090,131,272,896,1725,424,975
ENSDARG00000001437,103,19.5,38,137,34,40.5,11,13,81,219,8,170.5
ENSDARG00000001442,21,15,74,208,200,203,128,296.5,231,698,148,306
ENSDARG00000001447,201,259.5,196,175.5,90,334.5,112,102,428,208,135,252.5
ENSDARG00000001452,124,1469,69,615.5,93,588.5,146,350.5,273,1033,183,768.5
ENSDARG00000001463,0,10,43,24,74,68,168,10.5,75,13.5,76,0.5
ENSDARG00000001470,113,402.5,127,350,118,462,148,203,227,346.5,141,505.5
ENSDARG00000001498,3,65.5,16,0,11,0,18,0,34,15.5,17,6
ENSDARG00000001549,767,1677.5,834,938,586,1382,499,588,1571,1146,586,1278.5
ENSDARG00000001557,153,392,128,351.5,75,385.5,81,102,218,243.5,103,271
ENSDARG00000001558,1319,2396,986,383,426,1526.5,388,329,1078,516,371,421.5
ENSDARG00000001559,30,48,510,151,77,173.5,418,95,3459,186.5,1114,176
ENSDARG00000001572,0,0,0,0,0,0,0,0,4,0,0,0
ENSDARG00000001578,78,206,92,465.5,138,824.5,84,351.5,206,450.5,111,484
ENSDARG00000001621,106,143.5,135,200.5,87,230.5,130,196,417,194.5,130,258.5
ENSDARG00000001634,978,1717.5,1635,1902,1164,3150,1161,1058,4021,2546,1882,3038.5
ENSDARG00000001656,0,0,0,0,3,0,0,0,0,8,0,8.5
ENSDARG00000001676,617,135.5,936,3119.5,796,3008,354,1305.5,1767,4118.5,238,3147.5
ENSDARG00000001686,0,0,19,0,4,12.5,6,21.5,62,25.5,7,2.5
ENSDARG00000001710,563,2176.5,944,1058,372,1250.5,768,560,2341,941.5,1259,1024
ENSDARG00000001712,0,21.5,6,15.5,2,142.5,0,0,21,0,17,13.5
ENSDARG00000001721,252,877,17,10.5,4,21.5,9,24.5,4,23,13,11
ENSDARG00000001729,582,1030,666,997.5,512,1527.5,398,479,1377,1032.5,616,1079
ENSDARG00000001733,105,231.5,153,151,290,212,206,61,504,129,219,189.5
ENSDARG00000001734,124,135.5,71,292.5,73,371,43,186.5,326,470.5,163,381.5
ENSDARG00000001754,964,1725,404,502,392,1498,235,444.5,780,1443.5,259,1298.5
ENSDARG00000001760,5,14.5,318,42.5,732,2085,1401,499.5,2486,270,663,103
ENSDARG00000001767,180,245,186,87,135,136.5,130,36,266,148.5,162,123
ENSDARG00000001769,1097,1299,1272,1749,792,1873.5,768,983.5,2413,2138,1093,2329
ENSDARG00000001771,6,0,4,0,2,0,13,0,18,22.5,0,0
ENSDARG00000001776,63,162.5,114,117,74,333,149,49,245,137.5,14,126.5
ENSDARG00000001777,2078,3919,1086,1161.5,699,2136.5,547,652,1509,1888.5,725,1792
ENSDARG00000001781,28,33,54,26,18,49.5,7,0,35,9.5,22,14.5
ENSDARG00000001782,3,36,1,0,0,9,6,12.5,14,152,0,66
ENSDARG00000001785,115,221,590,359,94,512.5,262,95,1229,111,615,552.5
ENSDARG00000001788,479,833.5,553,1399,526,1874.5,460,1426,1219,2203,498,2041
ENSDARG00000001803,2,196.5,19,674.5,40,293,93,186.5,153,153.5,22,1036.5
ENSDARG00000001804,0,0,0,6.5,0,88.5,25,7,8,6,0,2
ENSDARG00000001807,43,329.5,222,1005,182,1413.5,327,894.5,800,2449.5,227,2072.5
ENSDARG00000001817,8,53,45,104,36,168.5,64,45,169,163,26,171
ENSDARG00000001818,0,0,15,18,168,599,0,25,27,1162.5,47,258.5
ENSDARG00000001825,10,10.5,12,0,25,46.5,17,0,36,14,26,7
ENSDARG00000001829,614,957,725,768.5,571,1411,772,342,1507,1115.5,892,808.5
ENSDARG00000001835,49,25,377,58.5,100,176.5,278,66.5,1472,147,439,69.5
ENSDARG00000001857,782,1558.5,1516,1644,815,2306,780,702.5,2965,2409,1139,2022.5
ENSDARG00000001859,155,9.5,51,58.5,45,0,29,15,131,22,47,6.5
ENSDARG00000001870,255,29.5,392,195,255,2833,523,1045,433,1768.5,243,1765.5
ENSDARG00000001873,1145,611.5,541,566,589,930.5,352,422.5,950,620.5,526,676
ENSDARG00000001879,794,879.5,367,681.5,290,860.5,360,267.5,374,558,153,723
ENSDARG00000001880,34,139,108,193.5,91,264,233,60,349,195,176,298.5
ENSDARG00000001881,18,0,35,14,19,0,46,23.5,416,47.5,89,7.5
ENSDARG00000001882,0,0,2,18,14,36,3,10.5,39,100,0,73
ENSDARG00000001888,230,789,375,566.5,204,1273,249,203,882,759.5,270,769.5
ENSDARG00000001889,6234,1724,13459,6306.5,4109,11014,5497,3039.5,28408,5863.5,11505,3907
ENSDARG00000001890,1517,3194,1793,3117,1094,4092,948,1362,3274,3631.5,1125,3768
ENSDARG00000001891,4,9,40,23,0,76,20,20,213,68.5,16,74
ENSDARG00000001897,253,855,289,967,128,1409,148,830,402,2044.5,154,1613
ENSDARG00000001898,33,61.5,82,154.5,68,222.5,65,58,123,205,62,190
ENSDARG00000001906,12,0,11,6.5,1,0,29,0,2,0,11,24.5
ENSDARG00000001909,27,0,43,20,87,336,129,100,55,101.5,13,67.5
ENSDARG00000001910,232,47.5,959,2074.5,487,3182,870,1363.5,3374,3193.5,749,2448.5
ENSDARG00000001912,8,0,28,0,20,0,23,9.5,110,0,9,4
ENSDARG00000001913,14,2.5,115,30.5,16,41,34,0,119,24,16,45
ENSDARG00000001929,41,136,79,141,36,424,67,108.5,221,241,32,269.5
ENSDARG00000001930,55,323,181,234,89,409,97,82,399,214.5,132,227.5
ENSDARG00000001933,7,70.5,0,97,15,88.5,9,74,9,107.5,0,127
ENSDARG00000001937,26,0,3,5,0,0,34,0,12,0,21,6.5
ENSDARG00000001939,148,284.5,263,278,137,317,88,63,290,270,97,200.5
ENSDARG00000001940,274,550.5,327,1041,204,1749,202,728,783,1457.5,451,1579.5
ENSDARG00000001950,1,0,40,138.5,60,175,39,73,198,441,130,210.5
ENSDARG00000001953,50,181,78,203.5,37,481,225,163.5,317,440,100,883
ENSDARG00000001968,191,52,93,376,224,208,54,268.5,327,496,198,505
ENSDARG00000001969,196,510.5,250,180,127,553.5,177,258,462,441,285,565.5
ENSDARG00000001971,0,0,0,0,41,94.5,73,21,75,26,15,16
ENSDARG00000001975,1,94.5,194,237.5,259,417.5,499,96.5,572,375.5,370,269.5
ENSDARG00000001976,0,0,33,12.5,113,143,47,46.5,116,55.5,22,9.5
ENSDARG00000001993,5,11.5,30,34,538,4203,362,46,4193,1260.5,1005,1082
ENSDARG00000001994,259,43.5,1138,505,184,468,744,223.5,5436,559.5,1897,309.5
ENSDARG00000001999,280,194,563,194.5,335,188.5,249,77.5,981,345,317,193.5
ENSDARG00000002002,14,16.5,50,62,85,107.5,14,67.5,135,130.5,58,349
ENSDARG00000002006,65,231,285,387,149,564.5,134,290,564,716.5,257,472.5
ENSDARG00000002013,257,537.5,187,258,184,934,176,138,289,522,102,437
ENSDARG00000002016,265,629.5,327,360.5,205,621,302,219,524,409,298,414
ENSDARG00000002020,239,694.5,404,565.5,249,885,362,371.5,1022,1084,195,764.5
ENSDARG00000002021,99,1759,151,2023.5,258,1669.5,276,1190.5,513,2309.5,172,2136.5
ENSDARG00000002026,320,184.5,715,1908.5,396,1645.5,365,1094,1950,3089,684,3616
ENSDARG00000002031,373,488,352,327.5,280,615,193,128.5,643,300.5,207,325
ENSDARG00000002037,5,0,37,69.5,31,16,25,34.5,160,114,61,63
ENSDARG00000002060,62,84,63,51.5,52,100,19,0.5,59,121.5,15,54
ENSDARG00000002071,20,0,85,209,99,285.5,73,119,222,257,60,227.5
ENSDARG00000002077,39,179.5,104,168,6,172,93,74.5,255,122,86,194
ENSDARG00000002082,969,2321,1339,2341.5,762,3774.5,854,1591,2561,2864,1321,3191
ENSDARG00000002084,213,492,348,4814,308,3891,271,543,975,6124.5,510,3091
ENSDARG00000002097,1,0,10,0,0,33.5,0,0,0,0,0,17.5
ENSDARG00000002127,646,1211,1167,1525.5,400,2092.5,525,566.5,2012,1833.5,648,1765.5
ENSDARG00000002128,287,315.5,254,311.5,168,674.5,158,329,382,339,289,455.5
ENSDARG00000002131,646,1259,2408,2936,913,2515,997,1387,4827,3105.5,1599,3091.5
ENSDARG00000002165,0,35.5,0,48,13,245.5,33,187.5,45,72.5,18,340
ENSDARG00000002167,81,51,187,72,118,69.5,300,93.5,728,211,293,110
ENSDARG00000002168,627,831.5,622,577,231,1022,485,311,1106,558.5,397,685.5
ENSDARG00000002172,194,957.5,115,703,82,190.5,138,14,189,152.5,65,85.5
ENSDARG00000002174,68,177,20,98.5,64,17.5,20,100,99,160.5,20,169
ENSDARG00000002184,143,258.5,187,245.5,69,684,119,254,438,333,278,351.5
ENSDARG00000002190,73,155,174,1301,147,1595,146,880.5,506,1830.5,234,2048
ENSDARG00000002192,7,50,74,60,356,41.5,132,18,232,58,107,58.5
ENSDARG00000002193,0,0,109,4,2048,1812,729,278.5,2725,165.5,465,70
ENSDARG00000002194,210,2720,551,48,26,28,70,10.5,261,22,135,68
ENSDARG00000002196,101,503,156,440.5,132,690.5,202,420,261,1027,77,1084
ENSDARG00000002197,15,49,60,55.5,178,2164,82,197.5,146,5455,50,1165
ENSDARG00000002204,0,0,3,201.5,4,30.5,0,5.5,47,239,21,57
ENSDARG00000002210,39,49.5,77,63.5,45,72.5,18,23.5,257,27,86,63
ENSDARG00000002213,78,157,80,91,83,175,99,81,149,158,70,263
ENSDARG00000002215,738,912.5,529,749,211,468,153,275.5,526,500,348,886
ENSDARG00000002216,169,183.5,227,89.5,305,303,298,100.5,914,105,154,157.5
ENSDARG00000002217,186,645,450,804.5,189,824.5,216,446.5,1561,904.5,539,1179.5
ENSDARG00000002219,0,0,6,0,9,59,0,0,9,40.5,0,31
ENSDARG00000002220,81,158.5,125,243,91,402.5,84,97,179,203,119,215.5
ENSDARG00000002230,22,0.5,234,81,293,929.5,314,141,1697,207,453,82
ENSDARG00000002231,21,309,93,10,72,172.5,77,23,95,120.5,60,78
ENSDARG00000002235,276,348,577,669.5,1017,1386,906,283,1941,576.5,1260,508.5
ENSDARG00000002240,457,1228.5,459,1291.5,292,1257,221,968,874,1212,554,1433.5
ENSDARG00000002241,0,0,17,1.5,0,21.5,33,3,56,5,23,7.5
ENSDARG00000002249,4,46,84,286,91,541,56,252.5,240,640,54,393
ENSDARG00000002255,92,267.5,544,348.5,161,592.5,380,321,1964,349,859,276.5
ENSDARG00000002259,0,0,0,0,0,0,0,9,0,3,0,1
ENSDARG00000002264,15,24.5,55,38,36,37,15,60.5,39,70,32,76
ENSDARG00000002267,366,457,178,266.5,183,914,116,365.5,298,568.5,227,481
ENSDARG00000002271,382,654,587,1106.5,371,1805.5,456,615,1737,1306.5,635,1198.5
ENSDARG00000002285,89,397.5,193,1258,155,1122.5,94,960,441,2014,176,1779
ENSDARG00000002293,0,0,3,0,0,0,31,28,1,7,1,26
ENSDARG00000002295,0,0,7,8,0,0,26,0,4,2,18,6
ENSDARG00000002298,0,0,2,26,0,166.5,48,73.5,11,55.5,1,41.5
ENSDARG00000002299,38,35,61,55.5,92,205.5,28,58.5,195,122.5,70,116
ENSDARG00000002300,5,0,2,0,9,45,6,2.5,33,18,29,16
ENSDARG00000002304,93,422,25,38,60,194.5,7,25,59,58,14,114.5
ENSDARG00000002305,207,280.5,348,560,327,1166,318,382.5,892,1126,311,989
ENSDARG00000002311,0,0,0,0,0,0,0,0,14,11.5,0,0
ENSDARG00000002330,0,0,27,3.5,52,11,37,15.5,158,20.5,42,8.5
ENSDARG00000002332,178,261.5,189,165,263,71.5,402,30,520,135,307,135
ENSDARG00000002333,149,313.5,297,219,114,438,132,181.5,542,265,289,223.5
ENSDARG00000002336,751,909.5,825,651,367,1708,482,399.5,1314,906,650,526.5
ENSDARG00000002339,106,122,164,138,62,219,147,225,350,252.5,192,165.5
ENSDARG00000002344,6769,13080.5,7410,16647.5,4579,27749.5,5394,15353,15088,28057.5,13986,26929
ENSDARG00000002347,0,42,0,0,0,0,0,0,0,11,0,0
ENSDARG00000002353,14,41.5,12,48,24,971,14,83,129,710,36,1916
ENSDARG00000002355,1,3.5,10,26,5,23,1,7,8,117.5,4,80.5
ENSDARG00000002362,52,245,259,310,107,337.5,238,312,635,340,228,361.5
ENSDARG00000002365,97,164.5,46,782,118,910.5,93,509.5,174,774,108,879.5
ENSDARG00000002369,6683,12181.5,6094,21140,3702,31087,3638,18840,11131,40467,3981,20894.5
ENSDARG00000002377,78,159.5,74,176,52,265.5,94,110,202,151,55,156
ENSDARG00000002385,474,1014,413,590,321,907.5,99,358,910,1287,181,1058.5
ENSDARG00000002391,0,0,6,0,20,61,0,24,11,8.5,4,54
ENSDARG00000002394,0,0,0,0,12,49.5,0,8.5,10,66,0,24.5
ENSDARG00000002396,102,196,83,1449.5,303,2355,357,964,536,1694,314,1393
ENSDARG00000002401,30,71,86,160.5,93,550,110,119,103,267,108,215.5
ENSDARG00000002402,336,655.5,307,372,178,1128,230,417,651,548.5,236,708.5
ENSDARG00000002403,546,933.5,464,320.5,345,994.5,212,278.5,729,340.5,302,280
ENSDARG00000002405,151,2018,102,755,67,920,33,322.5,198,982.5,175,687
ENSDARG00000002406,14,13,16,8,16,0,12,37.5,16,26,21,46.5
ENSDARG00000002411,101,194,72,44.5,79,439.5,37,64.5,186,176,45,116.5
ENSDARG00000002445,312,1082,736,247.5,143,467,357,263,543,498,269,672.5
ENSDARG00000002463,92,207,117,115.5,60,225,57,78,124,72,69,135
ENSDARG00000002467,52,121.5,14,115.5,20,181,59,44,137,128.5,25,105.5
ENSDARG00000002479,765,1827.5,504,265.5,263,381,282,216,586,541.5,101,409
ENSDARG00000002483,14,8,0,2.5,29,0,0,32,19,38.5,28,2
ENSDARG00000002487,528,966.5,307,373.5,181,850,123,161,559,540.5,358,706
ENSDARG00000002494,39,0,93,21,67,140,55,17.5,101,36.5,40,40
ENSDARG00000002506,58,96.5,75,509,64,484.5,29,261,217,373.5,125,385.5
ENSDARG00000002507,70,70.5,241,52,320,682.5,521,119.5,668,308,336,204.5
ENSDARG00000002508,0,0,0,0.5,16,0,0,0.5,25,0,0,0.5
ENSDARG00000002509,5,50,19,100,6,256.5,36,143.5,24,98.5,8,87.5
ENSDARG00000002510,153,4.5,92,0,51,102.5,8,0,177,15,16,13
ENSDARG00000002523,313,610.5,238,902.5,279,1472,192,537.5,633,1368.5,320,1198
ENSDARG00000002533,32,173,40,20,43,119.5,79,14.5,77,80.5,20,50.5
ENSDARG00000002536,648,1728,841,2963,528,3078,592,2195,1327,2904,571,3318
ENSDARG00000002538,616,877.5,474,563.5,263,910,190,374,781,929.5,241,732
ENSDARG00000002546,64,0,337,155.5,88,107.5,268,58,1225,213.5,416,64.5
ENSDARG00000002549,43,162,127,268,55,345.5,68,253.5,178,397,126,405
ENSDARG00000002552,741,1603,565,1264.5,435,1416.5,465,720,988,1294.5,504,1805.5
ENSDARG00000002564,46,10,121,4720.5,113,2684,142,1860,604,2676,150,2784.5
ENSDARG00000002571,469,957,418,979,488,1601,407,698.5,1184,1319,513,1183
ENSDARG00000002576,0,5.5,0,0,0,0,26,3,58,28.5,0,0
ENSDARG00000002582,111,124,216,75,217,54.5,306,52,244,49.5,97,84.5
ENSDARG00000002587,473,335,2572,1328,876,2180,1086,607,6873,2491.5,1584,1523
ENSDARG00000002589,26,0,158,690.5,106,2513.5,65,395.5,392,1132,137,697
ENSDARG00000002591,504,1167.5,908,733,549,881,356,662.5,906,1012.5,383,1051.5
ENSDARG00000002593,173,57,0,1096.5,4,275.5,29,574.5,64,824.5,28,504.5
ENSDARG00000002597,0,0,0,0,0,0,0,10,0,0,11,0
ENSDARG00000002600,15,40,148,7,49,148.5,188,7,1165,84.5,308,50
ENSDARG00000002601,175,126,188,70.5,72,204.5,131,45,369,64,180,65.5
ENSDARG00000002607,69,423.5,723,1543.5,121,1669.5,199,595.5,1114,1336,132,2066
ENSDARG00000002609,204,654.5,293,95,121,58.5,164,55,523,98,161,112
ENSDARG00000002613,46,84.5,24,16,21,0,0,21,23,0,9,20.5
ENSDARG00000002632,751,1894.5,619,6360.5,833,10254.5,824,5834,1569,8991,918,9202
ENSDARG00000002634,21,18,43,125.5,38,286,90,338,59,133.5,12,264.5
ENSDARG00000002635,15,0,121,34.5,48,27.5,138,63,935,143,273,44.5
ENSDARG00000002642,384,715.5,273,411.5,248,1390,227,298.5,799,820.5,321,662
ENSDARG00000002644,24,0,27,98.5,474,186,283,54.5,456,194.5,127,80.5
ENSDARG00000002656,16,118,310,657.5,139,1061.5,81,195.5,1232,570.5,260,579
ENSDARG00000002659,1836,3123,1949,3826,1283,4304,1102,1809.5,3019,3653,1347,4269
ENSDARG00000002663,32,92.5,62,804.5,57,1714,79,593.5,211,1544.5,86,1556.5
ENSDARG00000002666,42,0,32,9.5,31,6,3,11.5,108,14,22,12.5
ENSDARG00000002670,120,311,140,251,98,147,166,190,469,456.5,206,165.5
ENSDARG00000002682,42,30,161,261.5,87,224,107,163,332,386.5,103,191.5
ENSDARG00000002690,33,119,66,143,58,316,41,109.5,104,143.5,30,77
ENSDARG00000002696,0,0,12,0,1221,2405.5,361,60,1544,287.5,64,31
ENSDARG00000002701,8,5,10,14,46,51,0,0.5,67,9,32,18
ENSDARG00000002707,11,0,0,4.5,3,0,0,0,17,0,0,7.5
ENSDARG00000002710,3917,6823,2487,2803.5,1951,5523,1492,1850.5,5055,6887,3854,8571.5
ENSDARG00000002720,344,338,120,159.5,149,475.5,132,103.5,284,376.5,97,404
ENSDARG00000002722,0,0,0,0.5,0,28,4,0,0,4.5,18,11.5
ENSDARG00000002728,6,0,8,0,0,0,0,0,36,11.5,15,0
ENSDARG00000002731,265,1128,611,1159.5,979,2600.5,812,1069,1334,2457.5,631,2848.5
ENSDARG00000002732,0,15.5,48,31.5,224,78.5,68,17.5,178,15.5,43,24
ENSDARG00000002745,1067,4341,1503,10055,615,5061,1197,5078.5,2980,6542,2008,8997.5
ENSDARG00000002748,100,492.5,333,173.5,245,302.5,276,69.5,738,235,226,257.5
ENSDARG00000002750,125,122.5,437,337,159,443.5,154,186,810,375,275,497
ENSDARG00000002754,25,70.5,42,49.5,36,137,26,51,53,108.5,50,127.5
ENSDARG00000002758,112,736.5,587,1159,639,2059,990,673.5,2104,1696.5,539,1246
ENSDARG00000002760,0,0.5,33,47.5,160,118,144,11.5,259,33.5,93,25.5
ENSDARG00000002764,0,1.5,7,14,23,167,0,54,28,775.5,6,85
ENSDARG00000002768,8,0,420,1730,182,5745.5,199,1711.5,1684,3353,595,2399
ENSDARG00000002771,4,0,0,0,101,11.5,5,0,351,17,33,21
ENSDARG00000002773,0,26.5,0,0,3,0,0,0,13,0,0,0
ENSDARG00000002779,7,14,16,0,6,229.5,36,22,12,0,0,22
ENSDARG00000002787,1519,1613,1529,1302,814,1838.5,990,627.5,2957,1608.5,967,1311
ENSDARG00000002790,1481,8999,1448,3564.5,896,4593.5,1169,1887.5,2933,4250,1274,4397
ENSDARG00000002791,1932,4822,1941,6592,1644,10159.5,1932,3532,6452,8913.5,3124,12655.5
ENSDARG00000002792,845,1167.5,789,1488.5,662,2402.5,591,672,2183,1804.5,1119,1721
ENSDARG00000002794,11,0,0,26,14,28,20,27.5,4,1,18,33
ENSDARG00000002795,610,688.5,299,200,120,32.5,352,20.5,810,182.5,264,151.5
ENSDARG00000002798,69,254,115,196.5,26,229,64,168.5,247,272,72,322.5
ENSDARG00000002816,0,3.5,51,47,60,0,82,32,290,56,102,29.5
ENSDARG00000002826,225,601.5,113,128.5,127,141.5,72,134,209,37,139,126.5
ENSDARG00000002830,119,246.5,63,79.5,44,173,76,99,106,153,98,172
ENSDARG00000002831,129,74.5,64,66,76,182.5,86,21.5,113,57.5,35,67
ENSDARG00000002840,295,205.5,1405,511.5,481,1513,628,377,3189,555,762,559
ENSDARG00000002847,9,0,53,17.5,145,67.5,88,23,217,29,21,49
ENSDARG00000002872,135,136.5,351,180.5,128,284.5,111,97.5,498,227,111,194.5
ENSDARG00000002877,438,990,372,1226,296,1184,353,525,648,1921.5,237,1461.5
ENSDARG00000002880,144,296,259,477.5,156,407.5,111,170.5,648,562.5,196,450
ENSDARG00000002894,62,161,95,104.5,80,95.5,92,96,150,202.5,91,133.5
ENSDARG00000002897,61,264.5,85,293.5,104,341,81,79,260,328.5,165,522
ENSDARG00000002909,162,52.5,87,52,225,161,53,202,59,159,39,119.5
